y,x,street_count,highway,longitude,latitude
12.9281284,77.6212637,3,nan,77.6212637,12.9281284
12.9325211,77.6235463,3,nan,77.6235463,12.9325211
12.9356757,77.6259763,4,nan,77.6259763,12.9356757
12.9270823,77.6344737,4,nan,77.6344737,12.9270823
12.9271812,77.634911,4,nan,77.634911,12.9271812
12.9266427,77.6254533,4,nan,77.6254533,12.9266427
12.9393759,77.6225806,3,nan,77.6225806,12.9393759
12.9421419,77.6178568,3,nan,77.6178568,12.9421419
12.9429689,77.6178861,3,nan,77.6178861,12.9429689
12.9424048,77.6187048,3,nan,77.6187048,12.9424048
12.9422713,77.6186828,3,nan,77.6186828,12.9422713
12.9422624,77.6196952,3,nan,77.6196952,12.9422624
12.9422578,77.6193513,3,nan,77.6193513,12.9422578
12.9428391,77.6193625,3,nan,77.6193625,12.9428391
12.9431945,77.6186542,3,nan,77.6186542,12.9431945
12.9436971,77.6202193,1,nan,77.6202193,12.9436971
12.9261921,77.6317161,1,nan,77.6317161,12.9261921
12.9453274,77.6170695,4,nan,77.6170695,12.9453274
12.9449294,77.6181556,3,nan,77.6181556,12.9449294
12.9448735,77.6190833,4,nan,77.6190833,12.9448735
12.9442089,77.6189031,3,nan,77.6189031,12.9442089
12.9439505,77.6188323,3,nan,77.6188323,12.9439505
12.9439372,77.6197535,3,nan,77.6197535,12.9439372
12.9438197,77.6193927,1,nan,77.6193927,12.9438197
12.9422743,77.620316,3,nan,77.620316,12.9422743
12.9424102,77.621226,4,nan,77.621226,12.9424102
12.9421851,77.6214784,3,nan,77.6214784,12.9421851
12.9258917,77.6251942,3,nan,77.6251942,12.9258917
12.9268492,77.6229326,3,nan,77.6229326,12.9268492
12.9353344,77.6296896,1,nan,77.6296896,12.9353344
12.9415561,77.62642,1,nan,77.62642,12.9415561
12.9405643,77.6264985,3,nan,77.6264985,12.9405643
12.9414805,77.6261117,1,nan,77.6261117,12.9414805
12.9411958,77.6259878,1,nan,77.6259878,12.9411958
12.9407171,77.6269256,3,nan,77.6269256,12.9407171
12.9404653,77.6261698,3,nan,77.6261698,12.9404653
12.9408545,77.62587,1,nan,77.62587,12.9408545
12.9403441,77.6258879,3,nan,77.6258879,12.9403441
12.940664,77.6267692,3,nan,77.6267692,12.940664
12.9270606,77.6383944,3,nan,77.6383944,12.9270606
12.9273744,77.6377093,3,nan,77.6377093,12.9273744
12.9248118,77.6380222,3,nan,77.6380222,12.9248118
12.9421919,77.6174083,3,nan,77.6174083,12.9421919
